product_id,name,category,brand,price,currency,description,features,materials,capacity,compatibility,variants,stock,sku,url,image_url,tags
P001,Stainless Steel Water Bottle 1L,Drinkware,HydraPro,24.99,EUR,Durable double-wall insulated bottle that keeps drinks cold for 24h or hot for 12h.,Double-wall;BPA-free;Leak-proof;Wide mouth,Stainless steel,1 L,,Color: Black/Sage/Steel,120,HB-1L-SS-BLK,https://example.com/products/p001,https://example.com/images/p001.jpg,bottle;hydration;outdoor
P002,TrailMate Hiking Backpack 28L,Backpacks,TrailMate,79.9,EUR,Lightweight daypack with ventilated back panel and integrated rain cover.,Ventilated back;Hip belt;Rain cover;Hydration sleeve,Nylon ripstop,28 L,Hydration bladders up to 2 L,Color: Forest/Black,60,TM-28L-GRN,https://example.com/products/p002,https://example.com/images/p002.jpg,hiking;outdoor;travel
P003,SoundNest ANC Wireless Headphones,Audio,SoundNest,199.0,EUR,Over-ear active noise-cancelling headphones with 30-hour battery life and multipoint.,ANC;Bluetooth 5.3;30h battery;Multipoint;Foldable,Plastic;Memory foam,,iOS;Android;PC,Color: Black/White,45,SN-ANC-BLK,https://example.com/products/p003,https://example.com/images/p003.jpg,audio;headphones;wireless
P004,"Coverly Laptop Sleeve 13""",Accessories,Coverly,19.99,EUR,Padded neoprene sleeve that protects 13-inch laptops from scratches and bumps.,Water-resistant;Padded;Zip closure,Neoprene,13 in,13-inch laptops,Color: Charcoal/Navy,150,CV-13-NEO,https://example.com/products/p004,https://example.com/images/p004.jpg,laptop;sleeve;protection
P005,BeanCraft Burr Coffee Grinder,Kitchen,BeanCraft,129.0,EUR,Consistent burr grinder with 40 grind settings and timed dosing for espresso to French press.,40 grind settings;Timer;Anti-static chute,Stainless steel;Ceramic burrs,250 g hopper,,,35,BC-GRD-250,https://example.com/products/p005,https://example.com/images/p005.jpg,coffee;grinder;espresso
P006,"Astra S 6.1"" Smartphone 128GB",Phones,Astra,649.0,EUR,"Slim smartphone with OLED display, 5G, and all-day battery life.",OLED;128GB;5G;Dual SIM,Aluminum;Glass,128 GB,Nano-SIM;eSIM,Color: Graphite/Blue,80,AS-61-128,https://example.com/products/p006,https://example.com/images/p006.jpg,smartphone;5g;oled
P007,CleanOrbit Lidar Robot Vacuum,Home Appliances,CleanOrbit,299.0,EUR,"Smart vacuum with lidar navigation, mopping module, and app control.",Lidar mapping;Auto-mop;No-go zones;App control,Plastic,0.45 L bin,Alexa;Google Home,,22,CO-RV-LD1,https://example.com/products/p007,https://example.com/images/p007.jpg,vacuum;smart-home;cleaning
P008,ZenFlex Yoga Mat Pro 6mm,Fitness,ZenFlex,39.9,EUR,Non-slip TPE yoga mat with excellent cushioning for home and studio practice.,Non-slip;6 mm thick;Lightweight,TPE,,,Color: Teal/Purple/Black,200,ZF-YM-PRO,https://example.com/products/p008,https://example.com/images/p008.jpg,yoga;fitness;mat
P009,BlendMax High-Speed Blender 1.6L,Kitchen,BlendMax,189.0,EUR,"Powerful countertop blender for smoothies, soups, and nut butters.",1500W motor;Pulse;5 speeds,Tritan jar;Steel blades,1.6 L,,,28,BM-16-1500,https://example.com/products/p009,https://example.com/images/p009.jpg,blender;kitchen;appliance
P010,CrispAir Air Fryer 4.5L,Kitchen,CrispAir,109.0,EUR,Compact air fryer with digital display and 8 cooking presets for easy meals.,8 presets;Digital display;Dishwasher-safe basket,Non-stick basket,4.5 L,,,50,CA-AF-45,https://example.com/products/p010,https://example.com/images/p010.jpg,air-fryer;kitchen;healthy-cooking
